a 	啊	c=36 d=1.2806 t=40209
mu di xing 	目的性	c=1 d=0.0005 t=76495
mu guang 	目光	c=1 d=2.0000 t=3722
mu lu 	目錄	c=30 d=0.1819 t=76495
mu lu xia 	目錄下	c=1 d=0.0005 t=76495
mu qian 	幕前	c=1 d=0.0005 t=76495
mu qian 	目前	c=59 d=2.6875 t=40209
mu qin 	母親	c=1 d=0.0005 t=76495
mu shi 	目视	c=1 d=2.0000 t=3713
n chang ao 	嗯長奧	c=1 d=0.1826 t=76495
n chuang 	嗯床	c=1 d=0.0128 t=3923
na 	吶	c=1 d=0.0005 t=76495
na 	哪	c=4 d=0.0013 t=40209
na 	娜	c=5 d=0.0005 t=76495
na 	拿	c=18 d=2.2170 t=40209
na 	那	c=81 d=5.7184 t=40209
na ba 	那把	c=1 d=0.0005 t=76495
na bang wo 	那帮我	c=1 d=0.0005 t=76495
na bei 	那被	c=1 d=0.0005 t=76495
na ben shu 	那本書	c=1 d=0.0005 t=76495
na bian 	哪邊	c=5 d=0.0005 t=76495
na bian 	那边	c=3 d=0.2604 t=3923
na bian 	那邊	c=28 d=2.8137 t=76495
na bu chu 	拿不出	c=0 d=0.0005 t=76495
na bu chu lai 	拿不出來	c=1 d=0.0005 t=76495
na bu dao 	拿不到	c=15 d=0.3214 t=40209
na bu dei 	那不得	c=1 d=0.0005 t=76495
na bu dui 	拿不对	c=1 d=0.0002 t=3923
na bu fen 	那部分	c=1 d=0.0002 t=3923
na bu shi 	那不是	c=2 d=0.0005 t=76495
na bu shu fu 	哪不舒服	c=1 d=0.0005 t=76495
na bu xing 	那不行	c=1 d=0.0005 t=76495
na chu lai 	拿出來	c=4 d=0.0005 t=76495
na ci 	那次	c=1 d=0.0005 t=76495
na dao 	拿到	c=22 d=3.8087 t=40209
na dao 	那倒	c=1 d=0.0005 t=76495
na dao le 	拿到了	c=1 d=0.0005 t=76495
na de 	拿的	c=2 d=0.0005 t=76495
na dei 	那得	c=3 d=0.0005 t=76495
na deng ni 	那等你	c=1 d=0.0005 t=76495
na dui 	那對	c=1 d=0.0005 t=76495
na dun 	那頓	c=1 d=0.0005 t=76495
na er 	那兒	c=1 d=0.0005 t=76495
na fang mian 	哪方面	c=1 d=0.0005 t=76495
na ge 	哪个	c=8 d=0.1371 t=3923
na ge 	哪個	c=83 d=7.2343 t=76495
na ge 	拿個	c=3 d=0.0005 t=76495
na ge 	那个	c=4 d=1.8363 t=3923
na ge 	那個	c=151 d=3.6174 t=76495
na ge ban 	哪個版	c=1 d=0.0005 t=76495
na ge biao 	那个表	c=1 d=1.1367 t=3923
na ge duo 	哪個多	c=1 d=0.0015 t=76495
na ge hao 	哪个号	c=2 d=0.0002 t=3923
na ge hao 	哪個號	c=1 d=1.5364 t=76495
na ge hao 	那个号	c=1 d=0.0005 t=76495
na ge qun 	哪个群	c=1 d=0.0005 t=76495
na ge shi hou 	那個時候	c=2 d=0.0005 t=76495
na gu ji 	拿估计	c=1 d=0.0002 t=3923
na gu ji 	那估計	c=1 d=0.0005 t=76495
na hai 	那還	c=1 d=0.0005 t=76495
na hao 	那好	c=2 d=0.2554 t=40209
na ji 	哪幾	c=0 d=0.0005 t=76495
na ji 	那幾	c=0 d=0.0005 t=76495
na ji ge 	哪幾個	c=2 d=0.0005 t=76495
na ji ge 	那幾個	c=1 d=0.0005 t=76495
na ji jia 	哪幾家	c=1 d=0.0005 t=76495
na ji tai 	那幾臺	c=1 d=0.0005 t=76495
na jie 	娜姐	c=41 d=0.9022 t=76495
na jiu 	那就	c=14 d=0.7593 t=40209
na jiu shi 	那就是	c=16 d=3.4987 t=40209
na jiu shi le 	那就是了	c=1 d=1.5654 t=3923
na ke 	那可	c=1 d=0.0023 t=3923
na ke bu 	那可不	c=1 d=0.0005 t=76495
na kuai 	哪塊	c=1 d=0.0005 t=76495
na kuan 	哪款	c=1 d=0.0005 t=76495
na kuan 	那款	c=1 d=0.0005 t=76495
na lai 	哪來	c=1 d=0.0005 t=76495
na lai 	拿來	c=3 d=0.0005 t=76495
na lai 	拿来	c=1 d=0.0002 t=3923
na lai de 	哪来的	c=1 d=0.0005 t=76495
na le 	拿了	c=1 d=0.0552 t=3923
na li 	哪裏	c=29 d=3.6003 t=76495
na li 	哪里	c=3 d=0.0074 t=3923
na li 	那裏	c=76 d=2.1393 t=76495
na li 	那里	c=7 d=0.0733 t=3923
na li lai 	哪里来	c=1 d=0.0005 t=76495
na liang ge 	哪两个	c=1 d=0.0005 t=76495
na me duo 	那麼多	c=1 d=0.0005 t=76495
na mei wen ti 	那没问题	c=1 d=0.0005 t=76495
na miao 	納秒	c=1 d=0.2416 t=76495
na miao 	纳秒	c=1 d=0.0039 t=3923
na ni 	那你	c=38 d=6.7077 t=40209
na ni shi 	那你是	c=1 d=0.0005 t=76495
na nie 	拿捏	c=1 d=0.1842 t=40209
na nie zhu le 	拿捏住了	c=2 d=1.8467 t=40209
na qian duan 	那前端	c=1 d=0.0005 t=76495
na rang ta 	那讓他	c=1 d=0.0005 t=76495
na sha 	拿啥	c=1 d=0.0002 t=3923
na sha 	那啥	c=2 d=0.5594 t=40209
na shen fen 	拿身份	c=0 d=0.0005 t=76495
na shi 	那是	c=10 d=2.8277 t=76495
na shi bu shi 	那是不是	c=1 d=0.0005 t=76495
na shi de 	那时的	c=0 d=0.0005 t=76495
na shi hou 	那時候	c=5 d=0.0005 t=76495
na shi kuai 	那時快	c=0 d=0.0005 t=76495
na shi wo 	那是我	c=1 d=0.0005 t=76495
na shuo ming 	那說明	c=1 d=0.0005 t=76495
na ta 	拿它	c=2 d=0.0005 t=76495
na tai 	那太	c=0 d=0.1347 t=3923
na tai 	那臺	c=0 d=0.0005 t=76495
na tai hao 	那太好	c=1 d=1.3541 t=3923
na tai ji 	那臺機	c=1 d=0.0005 t=76495
na tai ji qi 	那臺機其	c=1 d=0.0005 t=76495
na tao 	那套	c=1 d=0.0005 t=76495
na tian 	那天	c=2 d=0.0005 t=76495
na tiao 	那條	c=10 d=0.2264 t=76495
na tie 	拿鐵	c=1 d=0.0005 t=76495
na tie 	拿铁	c=7 d=0.6591 t=3923
na wan yi er 	那玩意儿	c=1 d=0.0005 t=76495
na wei 	哪位	c=1 d=1.6622 t=3923
na wei 	那位	c=9 d=1.3195 t=76495
na wo 	那我	c=28 d=9.1271 t=76495
na wo ba 	那我把	c=2 d=0.0007 t=40209
na wo dei 	那我得	c=2 d=0.0379 t=76495
na wo men 	那我们	c=2 d=2.4095 t=76495
na xian 	那先	c=3 d=0.0005 t=76495
na xiang 	哪像	c=1 d=0.0005 t=76495
na xie 	哪些	c=17 d=0.0241 t=76495
na xing 	那行	c=1 d=0.0005 t=76495
na yang 	那樣	c=1 d=0.0005 t=76495
na ye 	那也	c=1 d=0.3617 t=3923
na ye dei 	那也得	c=1 d=0.0005 t=76495
na yi 	哪一	c=0 d=0.4369 t=76495
na yi 	那一	c=1 d=0.0009 t=76495
na yi ban 	那一版	c=1 d=0.0005 t=76495
na yi bian 	那一邊	c=1 d=0.0005 t=76495
na yi ceng 	那一層	c=1 d=0.0087 t=76495
na yi fen 	那一份	c=1 d=0.0005 t=76495
na yi ge 	哪一个	c=1 d=0.0027 t=3923
na yi ge 	哪一個	c=5 d=0.0005 t=76495
na yi ge 	拿一个	c=1 d=0.0095 t=3923
na yi ge 	拿一個	c=1 d=0.0005 t=76495
na yi ge 	那一个	c=2 d=0.2807 t=76495
na yi ke 	那一刻	c=1 d=0.0005 t=76495
na yi kuai 	哪一块	c=14 d=1.9148 t=40209
na yi kuai 	那一块	c=11 d=0.1728 t=40209
na yi quan 	那一圈	c=1 d=0.0005 t=76495
na yi tao 	哪一套	c=1 d=4.3905 t=76495
na yi tao 	那一套	c=4 d=0.6858 t=76495
na yi tian 	哪一天	c=2 d=0.1080 t=76495
na yi tiao 	那一條	c=3 d=0.0005 t=76495
na yi wei 	哪一位	c=2 d=0.0005 t=76495
na yi wei 	那一位	c=1 d=0.0005 t=76495
na yi xia 	拿一下	c=1 d=0.0005 t=76495
na ying gai 	那应该	c=1 d=0.0005 t=76495
na you 	哪有	c=6 d=0.5681 t=76495
na you 	那有	c=0 d=0.0005 t=76495
na you shi jian 	那有時間	c=1 d=0.0005 t=76495
na zai 	那在	c=1 d=0.8131 t=3923
na zhang 	哪张	c=0 d=0.0122 t=3923
na zhang 	那張	c=1 d=0.0005 t=76495
na zhang biao 	哪张表	c=1 d=0.1228 t=3923
na zhe ge qun 	那这个群	c=1 d=0.0005 t=76495
na zhe yang 	那这样	c=1 d=0.0493 t=76495
na zhe yi kuai 	那这一块	c=1 d=0.0021 t=76495
na zhi neng 	那只能	c=1 d=0.0005 t=76495
na zhong 	哪種	c=1 d=0.0005 t=76495
na zhong 	那种	c=4 d=1.2191 t=3923
na zhong 	那種	c=20 d=3.6461 t=76495
na zuo shan 	哪座山	c=2 d=0.0085 t=40209
nai ba 	奶爸	c=1 d=0.0005 t=76495
nai cha 	奶茶	c=4 d=0.0005 t=76495
nai fang 	耐放	c=1 d=0.0005 t=76495
nai he 	奈何	c=1 d=0.0005 t=76495
nai nai 	奶奶	c=2 d=0.1060 t=40209
nai niu mao 	奶牛猫	c=1 d=0.0002 t=3923
nai you 	奶油	c=0 d=0.0998 t=3923
nai you chi tu le 	奶油吃吐了	c=1 d=1.0032 t=3923
nan 	南	c=0 d=0.0005 t=76495
nan 	难	c=1 d=1.6539 t=3923
nan 	難	c=1 d=0.0005 t=76495
nan bu cheng 	難不成	c=1 d=0.0005 t=76495
nan chi 	難喫	c=1 d=0.0005 t=76495
nan ci hou 	難伺候	c=1 d=0.0005 t=76495
nan dao 	難道	c=1 d=0.0005 t=76495
nan de 	男的	c=2 d=0.0005 t=76495
nan de ke fu 	难得克服	c=0 d=0.0005 t=76495
nan ding 	難頂	c=1 d=0.0720 t=76495
nan fang 	南方	c=3 d=0.0005 t=76495
nan fang 	男方	c=1 d=0.0005 t=76495
nan gai 	难改	c=1 d=3.8746 t=76495
nan gao 	難搞	c=4 d=0.0005 t=76495
nan guan 	難關	c=1 d=0.0005 t=76495
nan mei zhou 	南美洲	c=1 d=0.0005 t=76495
nan min 	難民	c=1 d=0.0005 t=76495
nan ning 	南寧	c=1 d=1.7673 t=76495
nan shan 	南山	c=1 d=0.0005 t=76495
nan shou 	难受	c=2 d=1.1425 t=3923
nan shou 	難受	c=16 d=4.7908 t=76495
nan shou de 	难受的	c=1 d=0.0002 t=3923
nan ti 	難題	c=0 d=0.0038 t=76495
nan tong 	男童	c=2 d=0.0005 t=76495
nan xing 	男性	c=2 d=0.0005 t=76495
nan ya 	南亞	c=1 d=0.0005 t=76495
nan yi 	難以	c=2 d=0.0005 t=76495
nan yi bi mian 	難以避免	c=1 d=0.0005 t=76495
nan yong 	难用	c=1 d=1.9900 t=3923
nan zhan 	南站	c=2 d=4.1763 t=76495
nan zhao 	難找	c=2 d=0.0005 t=76495
nao ke 	腦殼	c=1 d=2.4338 t=76495
nao ke tong 	腦殼痛	c=1 d=0.0005 t=76495
nao zi 	脑子	c=1 d=0.3407 t=3923
nao zi 	腦子	c=4 d=0.0005 t=76495
ne 	呢	c=82 d=7.3188 t=40209
ne ge 	呢個	c=0 d=0.0005 t=76495
ne ri juan 	呢日卷	c=1 d=0.0005 t=76495
nei 	內	c=26 d=2.5163 t=76495
nei 	内	c=1 d=0.0006 t=3923
nei bu 	內部	c=20 d=0.0207 t=76495
nei bu 	内部	c=2 d=1.4816 t=3923
nei bu de 	内部的	c=1 d=0.0005 t=76495
nei ce 	內測	c=1 d=0.0005 t=76495
nei cun 	內存	c=8 d=0.0005 t=76495
nei cun 	内存	c=1 d=0.0003 t=3923
nei de 	内的	c=1 d=0.0005 t=76495
nei di zhi 	内地址	c=0 d=0.0005 t=76495
nei he 	內核	c=0 d=0.0005 t=76495
nei he tai 	內核態	c=1 d=0.0005 t=76495
nei juan 	內卷	c=1 d=0.0005 t=76495
nei meng gu 	內蒙古	c=1 d=0.0005 t=76495
nei qian 	內嵌	c=2 d=0.0005 t=76495
nei qun 	內裙	c=1 d=0.0005 t=76495
nei rong 	內容	c=77 d=3.7041 t=76495
nei rong 	内容	c=1 d=0.0081 t=3923
nei wang 	內網	c=12 d=0.0151 t=76495
nei zang 	內臟	c=2 d=0.0005 t=76495
nei zhi 	內置	c=3 d=0.1948 t=76495
nen 	嫩	c=1 d=0.0005 t=76495
nen mo 	嫩模	c=1 d=0.0005 t=76495
neng 	能	c=50 d=1.5118 t=40209
neng bu 	能不	c=1 d=0.0005 t=76495
neng bu neng 	能不能	c=36 d=3.1217 t=40209
neng cha dao 	能查到	c=1 d=0.0005 t=76495
neng chu lai 	能出來	c=1 d=0.0005 t=76495
neng fou 	能否	c=6 d=0.0005 t=76495
neng gou 	能夠	c=2 d=0.0034 t=76495
neng guo 	能過	c=1 d=0.0005 t=76495
neng hao 	能好	c=1 d=0.0005 t=76495
neng jia 	能加	c=1 d=0.0005 t=76495
neng kan 	能看	c=1 d=0.0002 t=3923
neng kang 	能抗	c=1 d=0.0005 t=76495
neng li 	能力	c=22 d=2.1119 t=76495
neng liang 	能量	c=2 d=0.0005 t=76495
neng liang lai yuan 	能量來源	c=1 d=0.0005 t=76495
neng na dao 	能拿到	c=2 d=0.0005 t=76495
neng que ding 	能確定	c=1 d=0.0005 t=76495
neng shang 	能上	c=1 d=0.0005 t=76495
neng suan 	能算	c=1 d=0.0005 t=76495
neng xie 	能写	c=0 d=0.0669 t=3923
neng xie 	能寫	c=1 d=0.0306 t=76495
neng xie bu neng xie 	能写不能写	c=1 d=0.6724 t=3923
neng yong 	能用	c=1 d=0.0005 t=76495
neng you 	能有	c=2 d=0.0084 t=40209
neng zhi dao 	能知道	c=1 d=0.0005 t=76495
neng zuo 	能做	c=1 d=0.0005 t=76495
ni 	你	c=297 d=20.0529 t=40209
ni 	尼	c=0 d=0.0005 t=76495
ni 	腻	c=1 d=0.0661 t=3923
ni 	膩	c=4 d=0.0005 t=76495
ni an zhao 	你按照	c=1 d=0.1548 t=76495
ni ba 	你把	c=55 d=6.3418 t=40209
ni ba 	你爸	c=1 d=0.0005 t=76495
ni ba 	泥巴	c=2 d=0.4043 t=40209
ni ba ni 	你把你	c=2 d=0.0005 t=76495
ni ba ni de 	你把你的	c=1 d=0.0005 t=76495
ni ba ta 	你把他	c=1 d=0.0002 t=3923
ni ba ta 	你把它	c=2 d=0.3117 t=76495
ni ba wo 	你把我	c=1 d=0.0005 t=76495
ni bang wo 	你帮我	c=3 d=0.2010 t=40209
ni bei 	你背	c=1 d=0.0005 t=76495
ni bi xu 	你必须	c=1 d=0.0005 t=76495
ni bie 	你别	c=0 d=0.0005 t=76495
ni bie chi fan 	你别喫飯	c=1 d=0.0005 t=76495
ni bie gai 	你別改	c=1 d=0.0005 t=76495
ni bie shuo 	你别说	c=1 d=0.0005 t=76495
ni bu 	你不	c=1 d=0.4744 t=40209
ni bu dei 	你不得	c=1 d=0.0098 t=76495
ni bu dui jin 	你不对劲	c=1 d=0.2860 t=3923
ni bu gai 	你不改	c=1 d=0.0005 t=76495
ni bu hui 	你不回	c=1 d=0.0189 t=76495
ni bu hui wo 	你不回我	c=1 d=0.1900 t=76495
ni bu pei 	你不配	c=0 d=0.1440 t=76495
ni bu pei kan 	你不配看	c=1 d=1.4469 t=76495
ni bu shi 	你不是	c=8 d=1.5045 t=40209
ni bu shi shuo 	你不是说	c=1 d=0.0002 t=3923
ni bu shuo 	你不说	c=1 d=0.0005 t=76495
ni bu tou lan 	你不偷懶	c=1 d=0.0005 t=76495
ni bu xiang 	你不像	c=1 d=0.0005 t=76495
ni bu yao 	你不要	c=5 d=1.5738 t=40209
ni ce 	你測	c=1 d=0.0005 t=76495
ni ce shi xia 	你测试下	c=1 d=2.5205 t=76495
ni cha ru 	你插入	c=1 d=0.0005 t=76495
ni chan sheng 	你產生	c=1 d=0.0005 t=76495
ni cheng 	昵称	c=1 d=0.0536 t=3923
ni cheng 	昵稱	c=64 d=1.7909 t=76495
ni chi bu bao 	你喫不飽	c=1 d=0.0005 t=76495
ni chong qi 	你重启	c=2 d=0.0005 t=76495
ni chong shi 	你重试	c=1 d=0.0005 t=76495
ni chong xin 	你重新	c=1 d=0.0005 t=76495
ni chu 	你出	c=1 d=0.1378 t=3923
ni chuan 	你传	c=1 d=0.0005 t=76495
ni chuan gei wo 	你傳給我	c=1 d=0.0005 t=76495
ni cong 	你从	c=1 d=1.8211 t=76495
ni da 	你打	c=0 d=0.0326 t=3923
ni da guo lai 	你打过来	c=1 d=0.3273 t=3923
ni da guo lai 	你打過來	c=1 d=0.0005 t=76495
ni dai ma 	你带吗	c=1 d=0.0005 t=76495
ni dai wo 	你带我	c=1 d=0.0688 t=3923
ni dao di 	你到底	c=1 d=0.0005 t=76495
ni dao ru 	你导入	c=1 d=0.0002 t=3923
ni dao shi hou 	你到时候	c=2 d=0.0005 t=76495
ni de 	你的	c=30 d=7.4145 t=40209
ni de 	妳的	c=39 d=1.3975 t=76495
ni de wen ti 	你的问题	c=1 d=0.0005 t=76495
ni dei 	你得	c=9 d=0.1755 t=76495
ni dian ji 	你点击	c=2 d=0.1041 t=40209
ni ding 	你定	c=1 d=0.0005 t=76495
ni dou 	你都	c=2 d=0.0005 t=76495
ni dui 	你對	c=1 d=0.0005 t=76495
ni fa de 	你发的	c=1 d=0.0002 t=3923
ni fa gei 	你发给	c=1 d=0.0002 t=3923
ni fa gei 	你發給	c=1 d=0.0005 t=76495
ni fa guo lai 	你發過來	c=1 d=0.0005 t=76495
ni fa guo qu 	你發過去	c=1 d=0.0005 t=76495
ni fa le 	你发了	c=2 d=0.0005 t=76495
ni fa le ma 	你发了嗎	c=1 d=0.0005 t=76495
ni fa song 	你發送	c=1 d=0.0005 t=76495
ni fa xian 	你發現	c=1 d=0.0005 t=76495
ni fan hui 	你返回	c=1 d=0.0005 t=76495
ni fang zhe 	你放着	c=1 d=0.0005 t=76495
ni fang zhe li 	你放这里	c=1 d=0.0005 t=76495
ni gai 	你改	c=3 d=0.0005 t=76495
ni gai 	你该	c=1 d=0.0002 t=3923
ni gai le ma 	你改了吗	c=1 d=0.0005 t=76495
ni gai shuo 	你改說	c=1 d=0.0005 t=76495
ni gai wan 	你改完	c=1 d=0.0005 t=76495
ni gai xia 	你改下	c=1 d=0.0005 t=76495
ni gai yi xia 	你改一下	c=1 d=0.0005 t=76495
ni gan 	你敢	c=1 d=0.0005 t=76495
ni gan le 	你干了	c=0 d=0.0005 t=76495
ni gan le sha 	你干了啥	c=1 d=0.0005 t=76495
ni gang gang 	你剛剛	c=1 d=0.0005 t=76495
ni gao 	你搞	c=1 d=0.0005 t=76495
ni gao su 	你告訴	c=1 d=0.0005 t=76495
ni gao su wo 	你告訴我	c=1 d=0.0005 t=76495
ni ge 	你個	c=1 d=0.0005 t=76495
ni ge 	尼哥	c=7 d=0.0005 t=76495
ni gei 	你给	c=4 d=1.5149 t=76495
ni gei de 	你给的	c=1 d=0.0005 t=76495
ni gei le 	你給了	c=1 d=0.0005 t=76495
ni gei ta 	你給他	c=2 d=0.1644 t=76495
ni gei wo 	你给我	c=14 d=6.6256 t=76495
ni gei xia 	你給下	c=1 d=0.0005 t=76495
ni gei yi ge 	你给一个	c=1 d=0.0629 t=76495
ni gei yi xia 	你给一下	c=8 d=2.0026 t=76495
ni gu ji 	你估计	c=1 d=0.7321 t=3923
ni guan bi 	你關閉	c=1 d=0.0005 t=76495
ni hai 	你還	c=2 d=3.2688 t=76495
ni hai hao ma 	你還好嗎	c=2 d=0.3133 t=76495
ni hai mei 	你还没	c=0 d=0.0005 t=76495
ni hai mei bao 	你还没飽	c=1 d=0.0005 t=76495
ni hai neng 	你還能	c=1 d=0.0005 t=76495
ni hai xiang 	你还想	c=1 d=0.0005 t=76495
ni hai you 	你还有	c=1 d=0.0005 t=76495
ni hai zai 	你还在	c=0 d=0.0100 t=3923
ni hai zai 	你還在	c=1 d=0.0184 t=76495
ni hai zai ma 	你还在吗	c=2 d=0.9932 t=3923
ni hai zai ma 	你還在嗎	c=2 d=0.3744 t=76495
ni hao 	你好	c=14 d=4.8125 t=40209
ni hao 	妳好	c=18 d=0.0005 t=76495
ni hao dai 	你好歹	c=1 d=0.0005 t=76495
ni hao wu liao ya 	你好无聊呀	c=1 d=0.2991 t=3923
ni hao xiang 	你好像	c=1 d=0.0005 t=76495
ni hao ya 	你好呀	c=11 d=7.5152 t=40209
ni hao yong 	你好勇	c=1 d=0.0007 t=3923
ni he 	你合	c=1 d=0.0005 t=76495
ni hua guo qu 	你滑過去	c=1 d=0.0005 t=76495
ni huan le 	你換了	c=1 d=0.0005 t=76495
ni hui 	你會	c=1 d=0.0280 t=76495
ni ji de 	你记得	c=1 d=0.2562 t=3923
ni jia li 	你家里	c=1 d=0.8634 t=3923
ni jia yi xia 	你加一下	c=1 d=0.0005 t=76495
ni jie 	你姐	c=0 d=0.0005 t=76495
ni jie ge 	你截个	c=1 d=0.0005 t=76495
ni jie jie 	你姐姐	c=1 d=0.0005 t=76495
ni jie yi ge 	你接一个	c=1 d=0.0006 t=3923
ni jin tian 	你今天	c=1 d=0.0005 t=76495
ni jiu 	你就	c=11 d=0.0230 t=40209
ni jiu bu hui 	你就不會	c=1 d=0.0005 t=76495
ni jiu gai 	你就该	c=1 d=0.0046 t=3923
ni jiu shi 	你就是	c=2 d=0.0008 t=40209
ni jiu shuo 	你就说	c=2 d=0.0005 t=76495
ni jiu zhi dao 	你就知道	c=1 d=0.0005 t=76495
ni ju ben 	你剧本	c=1 d=0.0262 t=3923
ni jue de 	你覺得	c=2 d=0.0005 t=76495
ni kan 	你看	c=20 d=1.0912 t=40209
ni kan kan 	你看看	c=4 d=0.2442 t=40209
ni kan kan ni 	你看看你	c=1 d=0.0005 t=76495
ni kan xia 	你看下	c=43 d=1.8836 t=40209
ni kan yi xia 	你看一下	c=1 d=0.0005 t=76495
ni kan zhe 	你看这	c=1 d=0.8776 t=76495
ni ke 	尼克	c=1 d=0.0005 t=76495
ni ke neng 	你可能	c=4 d=0.0007 t=40209
ni ke yi 	你可以	c=27 d=1.9734 t=40209
ni ke yi gai 	你可以該	c=1 d=0.0005 t=76495
ni kuai 	你快	c=1 d=2.3975 t=76495
ni kuai dian 	你快点	c=1 d=0.0005 t=76495
ni kun rao 	你困擾	c=1 d=0.0005 t=76495
ni la 	你拉	c=0 d=0.0005 t=76495
ni la hei wo 	你拉黑窩	c=1 d=0.0005 t=76495
ni la xia 	你落下	c=1 d=0.0005 t=76495
ni la yi xia 	你拉一下	c=2 d=0.0005 t=76495
ni lai 	你來	c=5 d=0.0136 t=76495
ni lai 	你来	c=1 d=0.0002 t=3923
ni le 	膩了	c=1 d=0.0005 t=76495
ni ma 	你妈	c=0 d=0.0010 t=3923
ni ma 	你媽	c=0 d=0.0005 t=76495
ni ma 	尼瑪	c=5 d=0.0005 t=76495
ni man 	你满	c=1 d=0.0005 t=76495
ni man yi 	你滿意	c=1 d=0.0005 t=76495
ni mei 	你沒	c=3 d=0.0065 t=76495
ni mei 	你没	c=1 d=0.3241 t=3923
ni mei chi fan 	你沒喫飯	c=1 d=0.0655 t=76495
ni mei gao guo 	你沒搞過	c=1 d=0.0005 t=76495
ni mei gei ta 	你沒給她	c=1 d=0.0005 t=76495
ni mei gei wo 	你没给我	c=2 d=0.2604 t=76495
ni mei lai 	你沒來	c=1 d=0.0005 t=76495
ni mei shuo 	你沒說	c=1 d=0.0005 t=76495
ni mei you 	你没有	c=1 d=0.0005 t=76495
ni men 	你们	c=2 d=1.4759 t=3923
ni men 	你們	c=16 d=0.2591 t=76495
ni ming 	匿名	c=9 d=0.0353 t=40209
ni ming tian 	你明天	c=1 d=0.5817 t=3923
ni ming zhe 	匿名者	c=1 d=0.0005 t=76495
ni na 	你那	c=3 d=0.5217 t=40209
ni na bian 	你那边	c=1 d=0.0031 t=3923
ni na ge 	你那个	c=2 d=0.1781 t=76495
ni na li 	你那里	c=4 d=0.1053 t=40209
ni na li le 	你那里了	c=1 d=1.0454 t=76495
ni na shi hou 	你那時候	c=1 d=0.0005 t=76495
ni na tai 	你那臺	c=1 d=4.1142 t=76495
ni na yi kuai 	你那一块	c=1 d=0.0013 t=76495
ni na zhong 	你那種	c=1 d=0.0005 t=76495
ni nai nai 	你奶奶	c=1 d=1.0599 t=3923
ni ne 	你呢	c=2 d=4.8522 t=76495
ni neng 	你能	c=0 d=0.0230 t=3923
ni neng xie 	你能写	c=1 d=0.2306 t=3923
ni ni 	妳妳	c=0 d=0.0005 t=76495
ni ni ni 	你你你	c=0 d=0.0005 t=76495
ni ni ni ni ni 	妳妳你你你	c=1 d=0.0005 t=76495
ni ning lu 	泥泞路	c=2 d=0.0005 t=76495
ni nong 	你弄	c=1 d=0.0788 t=76495
ni pao ce yi xia 	你跑測一下	c=1 d=0.0005 t=76495
ni pei zhi 	你配置	c=1 d=0.0089 t=76495
ni qu 	你去	c=4 d=0.0005 t=76495
ni qu le 	你去了	c=1 d=0.0005 t=76495
ni que ding 	你确定	c=8 d=0.0013 t=76495
ni rang 	你让	c=2 d=0.0005 t=76495
ni rang ta 	你让他	c=2 d=0.0005 t=76495
ni rang wo 	你让我	c=1 d=0.0005 t=76495
ni ren wei 	你认为	c=3 d=0.0005 t=76495
ni ruo 	你若	c=1 d=0.0005 t=76495
ni sha 	你傻	c=1 d=0.0005 t=76495
ni shan 	你刪	c=1 d=0.0005 t=76495
ni shang 	你上	c=2 d=0.0005 t=76495
ni shang bao 	你上報	c=1 d=0.0005 t=76495
ni shen me 	你什么	c=2 d=0.0005 t=76495
ni shi 	你是	c=7 d=2.5843 t=76495
ni shi 	妳是	c=14 d=4.5016 t=76495
ni shi bu shi 	你是不是	c=6 d=1.6462 t=40209
ni shi fou 	你是否	c=1 d=1.9120 t=3923
ni shi ge 	妳是個	c=1 d=2.1478 t=76495
ni shi le ma 	你试了嗎	c=1 d=0.0005 t=76495
ni shi shi 	你试试	c=1 d=0.0005 t=3923
ni shi shuo 	你是说	c=4 d=0.9699 t=76495
ni shi xia 	你试下	c=2 d=0.0068 t=76495
ni shi yi xia 	你试一下	c=1 d=0.0081 t=3923
ni shou dao 	你收到	c=1 d=0.0005 t=76495
ni shou dong 	你手動	c=1 d=0.0005 t=76495
ni shou ji 	你手机	c=1 d=0.0005 t=76495
ni shou shang 	你手上	c=1 d=0.0005 t=76495
ni shu 	你熟	c=1 d=0.0005 t=76495
ni shua xin 	你刷新	c=2 d=0.0005 t=76495
ni shuo 	你說	c=13 d=1.4542 t=76495
ni shuo 	你说	c=1 d=0.0065 t=3923
ni shuo dao 	你说到	c=3 d=0.0005 t=76495
ni ta ma 	你他妈	c=4 d=0.1722 t=40209
ni ti 	你提	c=2 d=0.0005 t=76495
ni ti 	你體	c=1 d=0.0005 t=76495
ni ti gong 	你提供	c=1 d=0.2356 t=76495
ni ti jiao 	你提交	c=1 d=0.0005 t=76495
ni ting bai de 	你挺白的	c=1 d=0.0005 t=76495
ni tou lan 	你偷懶	c=1 d=0.0005 t=76495
ni tou tou 	你偷偷	c=1 d=0.0005 t=76495
ni wan 	你玩	c=1 d=0.0005 t=76495
ni wang ji 	你忘记	c=1 d=0.0065 t=3923
ni wei sha 	你为啥	c=1 d=0.6084 t=3923
ni wei shen me 	你为什么	c=2 d=0.0005 t=76495
ni wen 	你問	c=1 d=2.7995 t=76495
ni wen xia 	你问下	c=4 d=0.0005 t=76495
ni xi wang 	你希望	c=1 d=0.0005 t=76495
ni xi ya 	尼西亞	c=1 d=0.0005 t=76495
ni xian 	你先	c=17 d=0.0146 t=76495
ni xian ba 	你先把	c=0 d=0.0010 t=3923
ni xian ba zhe ge hao 	你先把这个号	c=1 d=0.0103 t=3923
