# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
ming wen 	明文	c=6 d=9.24848e-17 t=76495
ming xi 	明晰	c=2 d=4.5864e-07 t=76495
ming xi na 	明晰那	c=1 d=2.2846e-14 t=76495
ming xian 	明顯	c=10 d=4.90793e-10 t=76495
ming xing 	明星	c=1 d=7.9974e-19 t=76495
ming yan 	明眼	c=1 d=3.50083e-94 t=76495
ming yuan 	名媛	c=1 d=4.39056e-23 t=76495
ming zao 	名噪	c=1 d=8.33965e-12 t=76495
ming zao 	明早	c=1 d=8.38145e-12 t=76495
ming zi 	名字	c=14 d=0.242984 t=76495
ming zong 	明總	c=2 d=4.10865e-07 t=76495
mo 	莫	c=1 d=1.4602e-42 t=76495
mo 	默	c=1 d=1.13744e-15 t=76495
mo ban 	模板	c=14 d=4.59836e-08 t=76495
mo chu 	磨出	c=0 d=5.75852e-09 t=76495
mo chu lai 	磨出來	c=1 d=5.78739e-08 t=76495
mo die sha 	磨碟沙	c=3 d=9.18981e-07 t=76495
mo gai 	魔改	c=5 d=1.04927e-07 t=76495
mo gu 	蘑菇	c=1 d=5.17115e-07 t=76495
mo hu 	糢糊	c=9 d=0.0109246 t=76495
mo hu de 	模糊的	c=1 d=9.50459e-109 t=76495
mo huan 	魔幻	c=1 d=7.109e-16 t=76495
mo kuai 	模塊	c=11 d=0.114755 t=76495
mo li 	茉莉	c=1 d=7.81298e-68 t=76495
mo mo 	墨墨	c=0 d=6.58257e-53 t=76495
mo mo 	默默	c=1 d=3.92761e-65 t=76495
mo mo ji ji 	墨墨唧唧	c=1 d=6.61556e-52 t=76495
mo na ge 	摩納哥	c=0 d=4.52475e-84 t=76495
mo na ge cheng 	摩納哥成	c=1 d=4.54743e-83 t=76495
mo ni 	模擬	c=7 d=1.11573 t=76495
mo ni qi 	模擬器	c=2 d=1.71893e-20 t=76495
mo ren 	默認	c=127 d=0.439644 t=76495
mo ren zhi 	默認值	c=2 d=6.02256e-06 t=76495
mo shi 	模式	c=4 d=1.96012e-06 t=76495
mo shi 	漠視	c=1 d=8.22308e-111 t=76495
mo wei 	末位	c=5 d=1.92654 t=76495
mo wei 	末尾	c=2 d=0.980199 t=76495
mo xi ge 	墨西哥	c=1 d=8.25078e-33 t=76495
mo xing 	模型	c=11 d=6.90359e-24 t=76495
mo xing ceng 	模型層	c=1 d=1.46718e-98 t=76495
mo yu 	摸魚	c=7 d=5.09416e-07 t=76495
mo yu le 	摸魚了	c=1 d=7.98355e-28 t=76495
mo zheng 	魔怔	c=2 d=6.81146e-13 t=76495
mou 	某	c=5 d=0.132669 t=76495
mou cai hai ming 	謀財害命	c=1 d=1.20732e-40 t=76495
mou ci 	某次	c=1 d=1.93341e-21 t=76495
mou ci 	謀刺	c=2 d=3.83794e-21 t=76495
mou ge 	某個	c=13 d=0.182684 t=76495
mou jie kou 	某接口	c=1 d=9.02012e-23 t=76495
mou qun 	某羣	c=1 d=8.32298e-106 t=76495
mou ren 	某人	c=2 d=2.72274e-78 t=76495
mou xiang 	某項	c=2 d=3.89056e-36 t=76495
mou xie 	某些	c=3 d=5.8164e-08 t=76495
mou yi ge 	某一个	c=4 d=1.21152e-22 t=76495
mou zhong 	某種	c=1 d=2.01609e-43 t=76495
mu biao 	目標	c=2 d=0.24432 t=76495
mu ce 	目測	c=1 d=4.50094e-21 t=76495
mu ci zi xiao 	母慈子孝	c=1 d=1.11856e-24 t=76495
mu di 	目的	c=6 d=2.34243e-14 t=76495
mu di xing 	目的性	c=1 d=1.32061e-07 t=76495
mu lu 	目錄	c=30 d=0.0363711 t=76495
mu lu xia 	目錄下	c=1 d=2.74954e-105 t=76495
mu qian 	幕前	c=1 d=4.02661e-05 t=76495
mu qian 	目前	c=58 d=0.537451 t=76495
mu qin 	母親	c=1 d=2.7765e-14 t=76495
n chang ao 	嗯長奧	c=1 d=0.0365162 t=76495
na 	吶	c=1 d=4.43983e-66 t=76495
na 	哪	c=4 d=5.12057e-09 t=76495
na 	娜	c=5 d=4.32667e-27 t=76495
na 	拿	c=16 d=0.079659 t=76495
na 	那	c=78 d=0.743669 t=76495
na ba 	那把	c=1 d=1.26152e-86 t=76495
na bang wo 	那帮我	c=1 d=2.53098e-13 t=76495
na bei 	那被	c=1 d=4.16069e-08 t=76495
na ben shu 	那本書	c=1 d=1.62777e-26 t=76495
na bian 	哪邊	c=5 d=7.05122e-29 t=76495
na bian 	那邊	c=28 d=0.562733 t=76495
na bu chu 	拿不出	c=0 d=5.38293e-39 t=76495
na bu chu lai 	拿不出來	c=1 d=5.40992e-38 t=76495
na bu dao 	拿不到	c=14 d=0.0642483 t=76495
na bu dei 	那不得	c=1 d=5.58815e-37 t=76495
na bu shi 	那不是	c=2 d=3.00091e-46 t=76495
na bu shu fu 	哪不舒服	c=1 d=2.3383e-52 t=76495
na bu xing 	那不行	c=1 d=2.92781e-50 t=76495
na chu lai 	拿出來	c=4 d=2.29449e-06 t=76495
na ci 	那次	c=1 d=1.5696e-39 t=76495
na dao 	拿到	c=21 d=0.475605 t=76495
na dao 	那倒	c=1 d=4.64641e-101 t=76495
na dao le 	拿到了	c=1 d=1.16782e-31 t=76495
na de 	拿的	c=2 d=5.68554e-05 t=76495
na dei 	那得	c=3 d=4.05728e-06 t=76495
na deng ni 	那等你	c=1 d=7.73311e-06 t=76495
na dui 	那對	c=1 d=5.11779e-32 t=76495
na dun 	那頓	c=1 d=7.94238e-26 t=76495
na er 	那兒	c=1 d=5.36778e-93 t=76495
na fang mian 	哪方面	c=1 d=1.4472e-25 t=76495
na ge 	哪個	c=83 d=1.44686 t=76495
na ge 	拿個	c=3 d=2.34199e-10 t=76495
na ge 	那個	c=151 d=0.723486 t=76495
na ge ban 	哪個版	c=1 d=1.30725e-05 t=76495
na ge duo 	哪個多	c=1 d=0.000297529 t=76495
na ge hao 	哪個號	c=1 d=0.307279 t=76495
na ge hao 	那个号	c=1 d=3.2757e-18 t=76495
na ge qun 	哪个群	c=1 d=2.78227e-09 t=76495
na ge shi hou 	那個時候	c=2 d=7.39535e-10 t=76495
na gu ji 	那估計	c=1 d=1.49259e-06 t=76495
na hai 	那還	c=1 d=2.47783e-28 t=76495
na hao 	那好	c=1 d=7.81348e-10 t=76495
na ji 	哪幾	c=0 d=2.02854e-87 t=76495
na ji 	那幾	c=0 d=3.00509e-34 t=76495
na ji ge 	哪幾個	c=2 d=2.55286e-26 t=76495
na ji ge 	那幾個	c=1 d=2.56565e-26 t=76495
na ji jia 	哪幾家	c=1 d=2.03871e-86 t=76495
na ji tai 	那幾臺	c=1 d=3.02015e-33 t=76495
na jie 	娜姐	c=41 d=0.18045 t=76495
na jiu 	那就	c=13 d=0.151829 t=76495
na jiu shi 	那就是	c=15 d=0.438235 t=76495
na ke bu 	那可不	c=1 d=1.53037e-06 t=76495
na kuai 	哪塊	c=1 d=3.91255e-108 t=76495
na kuan 	哪款	c=1 d=9.33823e-20 t=76495
na kuan 	那款	c=1 d=3.33836e-35 t=76495
na lai 	哪來	c=1 d=6.57718e-13 t=76495
na lai 	拿來	c=3 d=1.07712e-21 t=76495
na lai de 	哪来的	c=1 d=5.95229e-15 t=76495
na li 	哪裏	c=29 d=0.720067 t=76495
na li 	那裏	c=76 d=0.427869 t=76495
na li lai 	哪里来	c=1 d=1.81662e-82 t=76495
na liang ge 	哪两个	c=1 d=7.05528e-15 t=76495
na me duo 	那麼多	c=1 d=6.61015e-13 t=76495
na mei wen ti 	那没问题	c=1 d=5.50607e-10 t=76495
na miao 	納秒	c=1 d=0.0483156 t=76495
na ni 	那你	c=34 d=0.985112 t=76495
na ni shi 	那你是	c=1 d=7.06993e-10 t=76495
na nie 	拿捏	c=1 d=3.25598e-21 t=76495
na nie zhu le 	拿捏住了	c=1 d=2.7028e-21 t=76495
na qian duan 	那前端	c=1 d=5.652e-53 t=76495
na rang ta 	那讓他	c=1 d=2.53289e-110 t=76495
na sha 	那啥	c=1 d=1.91711e-39 t=76495
na shen fen 	拿身份	c=0 d=6.80892e-39 t=76495
na shi 	那是	c=10 d=0.565548 t=76495
na shi bu shi 	那是不是	c=1 d=5.52843e-87 t=76495
na shi de 	那时的	c=0 d=3.36388e-08 t=76495
na shi hou 	那時候	c=5 d=3.61651e-06 t=76495
na shi kuai 	那時快	c=0 d=1.81174e-22 t=76495
na shi wo 	那是我	c=1 d=8.51826e-26 t=76495
na shuo ming 	那說明	c=1 d=8.85685e-14 t=76495
na ta 	拿它	c=2 d=4.22429e-10 t=76495
na tai 	那臺	c=0 d=1.59007e-16 t=76495
na tai ji 	那臺機	c=1 d=5.40917e-08 t=76495
na tai ji qi 	那臺機其	c=1 d=5.43628e-07 t=76495
na tao 	那套	c=1 d=2.89729e-15 t=76495
na tian 	那天	c=2 d=1.18793e-26 t=76495
na tiao 	那條	c=10 d=0.045275 t=76495
na tie 	拿鐵	c=1 d=2.08258e-13 t=76495
na wan yi er 	那玩意儿	c=1 d=3.71426e-55 t=76495
na wei 	那位	c=9 d=0.263903 t=76495
na wo 	那我	c=28 d=1.82542 t=76495
na wo ba 	那我把	c=1 d=4.02991e-44 t=76495
na wo dei 	那我得	c=2 d=0.00758345 t=76495
na wo men 	那我们	c=2 d=0.481909 t=76495
na xian 	那先	c=3 d=6.04445e-08 t=76495
na xiang 	哪像	c=1 d=8.38003e-10 t=76495
na xie 	哪些	c=17 d=0.00482054 t=76495
na xing 	那行	c=1 d=3.03943e-49 t=76495
na yang 	那樣	c=1 d=2.56854e-98 t=76495
na ye dei 	那也得	c=1 d=1.95804e-111 t=76495
na yi 	哪一	c=0 d=0.0873716 t=76495
na yi 	那一	c=1 d=0.000177127 t=76495
na yi ban 	那一版	c=1 d=4.21195e-05 t=76495
na yi bian 	那一邊	c=1 d=3.13156e-18 t=76495
na yi ceng 	那一層	c=1 d=0.00173804 t=76495
na yi fen 	那一份	c=1 d=1.07785e-29 t=76495
na yi ge 	哪一個	c=5 d=8.29664e-10 t=76495
na yi ge 	拿一個	c=1 d=1.45891e-61 t=76495
na yi ge 	那一个	c=2 d=0.0561348 t=76495
na yi ke 	那一刻	c=1 d=2.28896e-07 t=76495
na yi kuai 	哪一块	c=13 d=0.382893 t=76495
na yi kuai 	那一块	c=10 d=0.0257373 t=76495
na yi quan 	那一圈	c=1 d=3.70227e-17 t=76495
na yi tao 	哪一套	c=1 d=0.878095 t=76495
na yi tao 	那一套	c=4 d=0.137154 t=76495
na yi tian 	哪一天	c=2 d=0.0216013 t=76495
na yi tiao 	那一條	c=3 d=1.84419e-24 t=76495
na yi wei 	哪一位	c=2 d=9.27395e-26 t=76495
na yi wei 	那一位	c=1 d=1.59511e-111 t=76495
na yi xia 	拿一下	c=1 d=1.7103e-49 t=76495
na ying gai 	那应该	c=1 d=7.32853e-109 t=76495
na you 	哪有	c=6 d=0.113621 t=76495
na you 	那有	c=0 d=2.31969e-106 t=76495
na you shi jian 	那有時間	c=1 d=2.33132e-105 t=76495
na zhang 	那張	c=1 d=1.64553e-36 t=76495
na zhe ge qun 	那这个群	c=1 d=1.85628e-42 t=76495
na zhe yang 	那这样	c=1 d=0.0098528 t=76495
na zhe yi kuai 	那这一块	c=1 d=0.000422213 t=76495
na zhi neng 	那只能	c=1 d=3.1272e-31 t=76495
na zhong 	哪種	c=1 d=2.60869e-104 t=76495
na zhong 	那種	c=20 d=0.729221 t=76495
na zuo shan 	哪座山	c=1 d=2.58246e-44 t=76495
nai ba 	奶爸	c=1 d=7.59628e-90 t=76495
nai cha 	奶茶	c=4 d=4.3663e-09 t=76495
nai fang 	耐放	c=1 d=5.60184e-07 t=76495
nai he 	奈何	c=1 d=1.39647e-17 t=76495
nai nai 	奶奶	c=2 d=1.67662e-06 t=76495
nan 	南	c=0 d=3.80027e-90 t=76495
nan 	難	c=1 d=3.72983e-16 t=76495
nan bu cheng 	難不成	c=1 d=3.88812e-05 t=76495
nan chi 	難喫	c=1 d=6.34772e-07 t=76495
nan ci hou 	難伺候	c=1 d=8.4335e-26 t=76495
nan dao 	難道	c=1 d=3.41694e-44 t=76495
nan de 	男的	c=2 d=1.05435e-05 t=76495
nan de ke fu 	难得克服	c=0 d=3.36388e-08 t=76495
nan ding 	難頂	c=1 d=0.0144076 t=76495
nan fang 	南方	c=3 d=1.02298e-32 t=76495
nan fang 	男方	c=1 d=6.29164e-79 t=76495
nan gai 	难改	c=1 d=0.774916 t=76495
nan gao 	難搞	c=4 d=9.61444e-09 t=76495
nan guan 	難關	c=1 d=1.77974e-76 t=76495
nan mei zhou 	南美洲	c=1 d=8.29214e-33 t=76495
nan min 	難民	c=1 d=4.16636e-24 t=76495
nan ning 	南寧	c=1 d=0.353455 t=76495
nan shan 	南山	c=1 d=4.96823e-36 t=76495
nan shou 	難受	c=16 d=0.958165 t=76495
nan ti 	難題	c=0 d=0.000752142 t=76495
nan tong 	男童	c=2 d=1.32896e-44 t=76495
nan xing 	男性	c=2 d=7.91646e-17 t=76495
nan ya 	南亞	c=1 d=6.37282e-24 t=76495
nan yi 	難以	c=2 d=1.0345e-97 t=76495
nan yi bi mian 	難以避免	c=1 d=1.28902e-75 t=76495
nan zhan 	南站	c=2 d=0.83527 t=76495
nan zhao 	難找	c=2 d=6.62275e-06 t=76495
nao ke 	腦殼	c=1 d=0.486752 t=76495
nao ke tong 	腦殼痛	c=1 d=2.47035e-110 t=76495
nao zi 	腦子	c=4 d=1.92115e-05 t=76495
ne 	呢	c=76 d=0.929631 t=76495
ne ge 	呢個	c=0 d=2.10187e-93 t=76495
ne ri juan 	呢日卷	c=1 d=3.36388e-07 t=76495
nei 	內	c=26 d=0.503264 t=76495
nei bu 	內部	c=20 d=0.00414991 t=76495
nei bu de 	内部的	c=1 d=3.26446e-07 t=76495
nei ce 	內測	c=1 d=1.74931e-79 t=76495
nei cun 	內存	c=8 d=1.19474e-05 t=76495
nei de 	内的	c=1 d=4.85992e-12 t=76495
nei di zhi 	内地址	c=0 d=6.08515e-11 t=76495
nei he 	內核	c=0 d=2.93249e-11 t=76495
nei he tai 	內核態	c=1 d=2.94719e-10 t=76495
nei juan 	內卷	c=1 d=4.39519e-06 t=76495
nei meng gu 	內蒙古	c=1 d=2.3939e-05 t=76495
nei qian 	內嵌	c=2 d=8.85838e-16 t=76495
nei qun 	內裙	c=1 d=1.60103e-37 t=76495
nei rong 	內容	c=77 d=0.740826 t=76495
nei wang 	內網	c=12 d=0.00302755 t=76495
nei zang 	內臟	c=2 d=1.73925e-36 t=76495
nei zhi 	內置	c=3 d=0.0389686 t=76495
nen 	嫩	c=1 d=5.77638e-15 t=76495
nen mo 	嫩模	c=1 d=3.14672e-16 t=76495
neng 	能	c=49 d=0.0817426 t=76495
neng bu 	能不	c=1 d=6.84654e-44 t=76495
neng bu neng 	能不能	c=35 d=0.596773 t=76495
neng cha dao 	能查到	c=1 d=1.62153e-69 t=76495
neng chu lai 	能出來	c=1 d=1.27511e-65 t=76495
neng fou 	能否	c=6 d=2.85173e-05 t=76495
neng gou 	能夠	c=2 d=0.000685748 t=76495
neng guo 	能過	c=1 d=7.88479e-58 t=76495
neng hao 	能好	c=1 d=3.80222e-95 t=76495
neng jia 	能加	c=1 d=1.34633e-28 t=76495
neng kang 	能抗	c=1 d=3.19537e-20 t=76495
neng li 	能力	c=22 d=0.422385 t=76495
neng liang 	能量	c=2 d=2.08039e-13 t=76495
neng liang lai yuan 	能量來源	c=1 d=3.46316e-55 t=76495
neng na dao 	能拿到	c=2 d=3.8348e-19 t=76495
neng que ding 	能確定	c=1 d=1.96297e-23 t=76495
neng shang 	能上	c=1 d=3.32238e-08 t=76495
neng suan 	能算	c=1 d=7.22504e-30 t=76495
neng xie 	能寫	c=1 d=0.00612731 t=76495
neng yong 	能用	c=1 d=1.00652e-47 t=76495
neng you 	能有	c=1 d=3.13529e-32 t=76495
neng zhi dao 	能知道	c=1 d=2.18393e-72 t=76495
neng zuo 	能做	c=1 d=8.74701e-73 t=76495
ni 	你	c=285 d=3.46863 t=76495
ni 	尼	c=0 d=6.03178e-25 t=76495
ni 	膩	c=4 d=1.73945e-05 t=76495
ni an zhao 	你按照	c=1 d=0.0309618 t=76495
ni ba 	你把	c=48 d=0.934163 t=76495
ni ba 	你爸	c=1 d=6.73909e-05 t=76495
ni ba 	泥巴	c=1 d=6.70527e-34 t=76495
ni ba ni 	你把你	c=2 d=1.67911e-09 t=76495
ni ba ni de 	你把你的	c=1 d=4.10503e-26 t=76495
ni ba ta 	你把它	c=2 d=0.0623495 t=76495
ni ba wo 	你把我	c=1 d=5.86748e-52 t=76495
ni bang wo 	你帮我	c=2 d=1.88825e-37 t=76495
ni bei 	你背	c=1 d=6.29593e-87 t=76495
ni bi xu 	你必须	c=1 d=1.08513e-20 t=76495
ni bie 	你别	c=0 d=8.96292e-08 t=76495
ni bie chi fan 	你别喫飯	c=1 d=9.00784e-07 t=76495
ni bie gai 	你別改	c=1 d=1.18506e-27 t=76495
ni bie shuo 	你别说	c=1 d=3.1695e-42 t=76495
ni bu 	你不	c=0 d=5.39329e-08 t=76495
ni bu dei 	你不得	c=1 d=0.00195963 t=76495
ni bu gai 	你不改	c=1 d=8.21889e-105 t=76495
ni bu hui 	你不回	c=1 d=0.00378169 t=76495
ni bu hui wo 	你不回我	c=1 d=0.0380064 t=76495
ni bu pei 	你不配	c=0 d=0.0287941 t=76495
ni bu pei kan 	你不配看	c=1 d=0.289384 t=76495
ni bu shi 	你不是	c=7 d=1.37563e-09 t=76495
ni bu shuo 	你不说	c=1 d=2.03995e-05 t=76495
ni bu tou lan 	你不偷懶	c=1 d=4.82601e-106 t=76495
ni bu xiang 	你不像	c=1 d=3.6902e-08 t=76495
ni bu yao 	你不要	c=3 d=1.69132e-06 t=76495
ni ce 	你測	c=1 d=1.0736e-12 t=76495
ni ce shi xia 	你测试下	c=1 d=0.50409 t=76495
ni cha ru 	你插入	c=1 d=7.16435e-19 t=76495
ni chan sheng 	你產生	c=1 d=4.42206e-107 t=76495
ni cheng 	昵稱	c=64 d=0.35818 t=76495
ni chi bu bao 	你喫不飽	c=1 d=7.19781e-15 t=76495
ni chong qi 	你重启	c=2 d=1.80086e-09 t=76495
ni chong shi 	你重试	c=1 d=4.71789e-16 t=76495
ni chong xin 	你重新	c=1 d=4.17928e-31 t=76495
ni chuan 	你传	c=1 d=7.42989e-06 t=76495
ni chuan gei wo 	你傳給我	c=1 d=6.47994e-73 t=76495
ni cong 	你从	c=1 d=0.364219 t=76495
ni da guo lai 	你打過來	c=1 d=5.62017e-16 t=76495
ni dai ma 	你带吗	c=1 d=7.10998e-47 t=76495
ni dao di 	你到底	c=1 d=2.54385e-102 t=76495
ni dao shi hou 	你到时候	c=2 d=6.00802e-07 t=76495
ni de 	你的	c=24 d=1.12814 t=76495
ni de 	妳的	c=39 d=0.27951 t=76495
ni de wen ti 	你的问题	c=1 d=2.9137e-52 t=76495
ni dei 	你得	c=9 d=0.0351092 t=76495
ni dian ji 	你点击	c=1 d=1.25377e-43 t=76495
ni ding 	你定	c=1 d=4.45966e-89 t=76495
ni dou 	你都	c=2 d=6.71097e-44 t=76495
ni dui 	你對	c=1 d=1.0732e-37 t=76495
ni fa gei 	你發給	c=1 d=8.21662e-43 t=76495
ni fa guo lai 	你發過來	c=1 d=5.39228e-29 t=76495
ni fa guo qu 	你發過去	c=1 d=8.41916e-06 t=76495
ni fa le 	你发了	c=2 d=5.39704e-11 t=76495
ni fa le ma 	你发了嗎	c=1 d=5.42409e-10 t=76495
ni fa song 	你發送	c=1 d=1.99671e-47 t=76495
ni fa xian 	你發現	c=1 d=6.57697e-42 t=76495
ni fan hui 	你返回	c=1 d=4.44437e-78 t=76495
ni fang zhe 	你放着	c=1 d=1.96531e-37 t=76495
ni fang zhe li 	你放这里	c=1 d=2.63222e-92 t=76495
ni gai 	你改	c=3 d=7.44911e-08 t=76495
ni gai le ma 	你改了吗	c=1 d=1.17915e-27 t=76495
ni gai shuo 	你改說	c=1 d=7.48646e-07 t=76495
ni gai wan 	你改完	c=1 d=1.07763e-56 t=76495
ni gai xia 	你改下	c=1 d=1.10611e-10 t=76495
ni gai yi xia 	你改一下	c=1 d=2.38813e-06 t=76495
ni gan 	你敢	c=1 d=5.5369e-105 t=76495
ni gan le 	你干了	c=0 d=3.03261e-53 t=76495
ni gan le sha 	你干了啥	c=1 d=3.04781e-52 t=76495
ni gang gang 	你剛剛	c=1 d=5.76342e-18 t=76495
ni gao 	你搞	c=1 d=5.49185e-09 t=76495
ni gao su 	你告訴	c=1 d=4.53907e-33 t=76495
ni gao su wo 	你告訴我	c=1 d=4.56183e-32 t=76495
ni ge 	你個	c=1 d=1.25723e-46 t=76495
ni ge 	尼哥	c=7 d=1.46325e-23 t=76495
ni gei 	你给	c=4 d=0.302985 t=76495
ni gei de 	你给的	c=1 d=5.73352e-45 t=76495
ni gei le 	你給了	c=1 d=2.89868e-50 t=76495
ni gei ta 	你給他	c=2 d=0.0328764 t=76495
ni gei wo 	你给我	c=14 d=1.32512 t=76495
ni gei xia 	你給下	c=1 d=3.96695e-94 t=76495
ni gei yi ge 	你给一个	c=1 d=0.0125881 t=76495
ni gei yi xia 	你给一下	c=8 d=0.400517 t=76495
ni guan bi 	你關閉	c=1 d=4.56663e-15 t=76495
ni hai 	你還	c=2 d=0.65377 t=76495
ni hai hao ma 	你還好嗎	c=2 d=0.062662 t=76495
ni hai mei 	你还没	c=0 d=8.85685e-15 t=76495
ni hai mei bao 	你还没飽	c=1 d=8.90125e-14 t=76495
ni hai neng 	你還能	c=1 d=2.88088e-07 t=76495
ni hai xiang 	你还想	c=1 d=3.90761e-05 t=76495
ni hai you 	你还有	c=1 d=1.99183e-77 t=76495
ni hai zai 	你還在	c=1 d=0.00368832 t=76495
ni hai zai ma 	你還在嗎	c=2 d=0.074885 t=76495
ni hao 	你好	c=12 d=0.806622 t=76495
ni hao 	妳好	c=18 d=1.05543e-11 t=76495
ni hao dai 	你好歹	c=1 d=2.51664e-05 t=76495
ni hao xiang 	你好像	c=1 d=6.50135e-53 t=76495
ni hao ya 	你好呀	c=7 d=0.937067 t=76495
ni he 	你合	c=1 d=5.88906e-07 t=76495
ni hua guo qu 	你滑過去	c=1 d=3.47696e-43 t=76495
ni huan le 	你換了	c=1 d=3.8686e-34 t=76495
ni hui 	你會	c=1 d=0.00559994 t=76495
ni jia yi xia 	你加一下	c=1 d=4.54342e-102 t=76495
ni jie 	你姐	c=0 d=4.83768e-106 t=76495
ni jie ge 	你截个	c=1 d=3.50474e-19 t=76495
ni jie jie 	你姐姐	c=1 d=3.02859e-07 t=76495
ni jin tian 	你今天	c=1 d=6.85843e-35 t=76495
ni jiu 	你就	c=8 d=8.96443e-09 t=76495
ni jiu bu hui 	你就不會	c=1 d=1.53194e-18 t=76495
ni jiu shi 	你就是	c=1 d=1.78355e-13 t=76495
ni jiu shuo 	你就说	c=2 d=3.11329e-08 t=76495
ni jiu zhi dao 	你就知道	c=1 d=9.3148e-107 t=76495
ni jue de 	你覺得	c=2 d=9.94229e-35 t=76495
ni kan 	你看	c=18 d=0.218203 t=76495
ni kan kan 	你看看	c=3 d=9.49905e-14 t=76495
ni kan kan ni 	你看看你	c=1 d=2.38587e-83 t=76495
ni kan xia 	你看下	c=40 d=0.375278 t=76495
ni kan yi xia 	你看一下	c=1 d=2.94941e-107 t=76495
ni kan zhe 	你看这	c=1 d=0.17552 t=76495
ni ke 	尼克	c=1 d=8.70395e-15 t=76495
ni ke neng 	你可能	c=3 d=3.81977e-59 t=76495
ni ke yi 	你可以	c=24 d=0.0122825 t=76495
ni ke yi gai 	你可以該	c=1 d=6.54173e-67 t=76495
ni kuai 	你快	c=1 d=0.479506 t=76495
ni kuai dian 	你快点	c=1 d=1.05842e-109 t=76495
ni kun rao 	你困擾	c=1 d=7.58772e-18 t=76495
ni la 	你拉	c=0 d=6.95312e-109 t=76495
ni la hei wo 	你拉黑窩	c=1 d=6.98797e-108 t=76495
ni la xia 	你落下	c=1 d=2.30278e-19 t=76495
ni la yi xia 	你拉一下	c=2 d=8.44961e-19 t=76495
ni lai 	你來	c=5 d=0.00271219 t=76495
ni le 	膩了	c=1 d=1.21589e-35 t=76495
ni ma 	你媽	c=0 d=1.37783e-07 t=76495
ni ma 	尼瑪	c=5 d=3.21467e-32 t=76495
ni man 	你满	c=1 d=4.64528e-10 t=76495
ni man yi 	你滿意	c=1 d=7.08175e-59 t=76495
ni mei 	你沒	c=3 d=0.00130365 t=76495
ni mei chi fan 	你沒喫飯	c=1 d=0.0131019 t=76495
ni mei gao guo 	你沒搞過	c=1 d=5.8565e-30 t=76495
ni mei gei ta 	你沒給她	c=1 d=2.40713e-11 t=76495
ni mei gei wo 	你没给我	c=2 d=0.0520787 t=76495
ni mei lai 	你沒來	c=1 d=4.42611e-59 t=76495
ni mei shuo 	你沒說	c=1 d=4.3435e-102 t=76495
ni mei you 	你没有	c=1 d=6.78144e-108 t=76495
ni men 	你們	c=16 d=0.0518232 t=76495
ni ming 	匿名	c=8 d=3.66356e-11 t=76495
ni ming zhe 	匿名者	c=1 d=3.29808e-98 t=76495
ni na 	你那	c=2 d=0.104308 t=76495
ni na ge 	你那个	c=2 d=0.0356146 t=76495
ni na li 	你那里	c=3 d=0.0208045 t=76495
ni na li le 	你那里了	c=1 d=0.209088 t=76495
ni na shi hou 	你那時候	c=1 d=9.18981e-07 t=76495
ni na tai 	你那臺	c=1 d=0.822835 t=76495
ni na yi kuai 	你那一块	c=1 d=0.000252273 t=76495
ni na zhong 	你那種	c=1 d=1.69012e-27 t=76495
ni ne 	你呢	c=2 d=0.970446 t=76495
ni ni 	妳妳	c=0 d=1.05497e-101 t=76495
ni ni ni 	你你你	c=0 d=1.05497e-101 t=76495
ni ni ni ni ni 	妳妳你你你	c=1 d=1.06025e-100 t=76495
ni ning lu 	泥泞路	c=2 d=2.1828e-58 t=76495
ni nong 	你弄	c=1 d=0.0157644 t=76495
ni pao ce yi xia 	你跑測一下	c=1 d=1.94211e-15 t=76495
ni pei zhi 	你配置	c=1 d=0.00177315 t=76495
ni qu 	你去	c=4 d=1.21403e-17 t=76495
ni qu le 	你去了	c=1 d=2.10631e-58 t=76495
ni que ding 	你确定	c=8 d=0.000251531 t=76495
ni rang 	你让	c=2 d=3.44619e-06 t=76495
ni rang ta 	你让他	c=2 d=6.10505e-19 t=76495
ni rang wo 	你让我	c=1 d=3.86873e-05 t=76495
ni ren wei 	你认为	c=3 d=3.14085e-52 t=76495
ni ruo 	你若	c=1 d=1.47442e-09 t=76495
ni sha 	你傻	c=1 d=3.70518e-85 t=76495
ni shan 	你刪	c=1 d=7.61076e-83 t=76495
ni shang 	你上	c=2 d=1.37545e-15 t=76495
ni shang bao 	你上報	c=1 d=5.44647e-29 t=76495
ni shen me 	你什么	c=2 d=3.33846e-06 t=76495
ni shi 	你是	c=7 d=0.516851 t=76495
ni shi 	妳是	c=14 d=0.900325 t=76495
ni shi bu shi 	你是不是	c=4 d=1.46398e-43 t=76495
ni shi ge 	妳是個	c=1 d=0.429557 t=76495
ni shi le ma 	你试了嗎	c=1 d=2.0923e-09 t=76495
ni shi shuo 	你是说	c=4 d=0.19398 t=76495
ni shi xia 	你试下	c=2 d=0.00135358 t=76495
ni shou dao 	你收到	c=1 d=2.97763e-72 t=76495
ni shou dong 	你手動	c=1 d=7.572e-23 t=76495
ni shou ji 	你手机	c=1 d=9.14213e-34 t=76495
ni shou shang 	你手上	c=1 d=4.58781e-40 t=76495
ni shu 	你熟	c=1 d=1.43753e-05 t=76495
ni shua xin 	你刷新	c=2 d=1.28198e-40 t=76495
